title,district,sector,land_size,road_access,proximity_to_city,proximity_to_road,slope,utilities,title_deed,price_per_sqm_rwf,price_rwf
Land in Nyarugenge Town,Nyarugenge,Nyarugenge Town,1786,paved,33,415,steep,1,1,84872.0,151581283.0
Land in Gisozi,Gasabo,Gisozi,1752,paved,5,430,steep,1,1,61603.0,107927945.0
Land in Gahanga,Kicukiro,Gahanga,3393,dirt,6,367,steep,1,1,34509.0,117089664.0
Land in Gitega,Nyarugenge,Gitega,4450,paved,14,177,flat,0,1,73513.0,327131125.0
Land in Gisozi,Gasabo,Gisozi,4523,paved,27,205,gentle,0,1,62053.0,280665746.0
Land in Kacyiru,Gasabo,Kacyiru,252,dirt,34,441,flat,0,1,153638.0,38716779.0
Land in Nyarugenge Town,Nyarugenge,Nyarugenge Town,3928,paved,35,414,steep,0,0,57112.0,224337098.0
Land in Nyarugenge Town,Nyarugenge,Nyarugenge Town,590,paved,24,236,flat,1,1,168211.0,99244282.0
Land in Gisozi,Gasabo,Gisozi,3460,paved,5,324,flat,0,1,74979.0,259426251.0
Land in Kacyiru,Gasabo,Kacyiru,2200,dirt,16,207,flat,1,1,195000.0,428999520.0
Land in Remera,Gasabo,Remera,3902,paved,28,216,steep,0,1,87094.0,339841112.0
Land in Nyarutarama,Gasabo,Nyarutarama,2216,dirt,18,337,steep,1,0,170410.0,377627629.0
Land in Kicukiro Center,Kicukiro,Kicukiro Center,263,paved,6,160,steep,1,1,122224.0,32145016.0
Land in Kibagabaga,Gasabo,Kibagabaga,839,paved,9,120,flat,0,1,141905.0,119058346.0
Land in Nyamirambo,Nyarugenge,Nyamirambo,4854,dirt,34,128,gentle,0,1,28270.0,137223445.0
Land in Gitega,Nyarugenge,Gitega,2667,paved,25,412,steep,0,0,28569.0,76194040.0
Land in Kimihurura,Gasabo,Kimihurura,1534,paved,18,225,gentle,1,1,312614.0,479550018.0
Land in Kibagabaga,Gasabo,Kibagabaga,1025,paved,28,243,steep,1,1,99560.0,102049396.0
Land in Kacyiru,Gasabo,Kacyiru,3073,paved,24,420,gentle,1,0,157586.0,484260298.0
Land in Nyarugenge Town,Nyarugenge,Nyarugenge Town,547,dirt,16,129,steep,1,1,98617.0,53943416.0
Land in Gitega,Nyarugenge,Gitega,1099,paved,16,439,gentle,1,0,48687.0,53506803.0
Land in Remera,Gasabo,Remera,2564,paved,16,152,flat,0,1,161397.0,413821621.0
Land in Kibagabaga,Gasabo,Kibagabaga,3428,dirt,18,443,flat,0,0,53157.0,182223037.0
Land in Gisozi,Gasabo,Gisozi,2825,dirt,7,422,flat,0,1,50838.0,143617112.0
Land in Gahanga,Kicukiro,Gahanga,4586,dirt,30,355,flat,0,1,32789.0,150368918.0
Land in Kicukiro Center,Kicukiro,Kicukiro Center,1214,paved,13,321,gentle,1,1,105577.0,128170048.0
Land in Kanombe,Kicukiro,Kanombe,1165,dirt,27,405,gentle,1,0,38011.0,44282433.0
Land in Kacyiru,Gasabo,Kacyiru,4958,dirt,19,101,flat,1,1,210126.0,1041804030.0
Land in Gahanga,Kicukiro,Gahanga,1938,paved,2,472,steep,0,1,57642.0,111710781.0
Land in Kicukiro Center,Kicukiro,Kicukiro Center,1724,paved,11,25,gentle,0,1,113006.0,194822631.0
Land in Kibagabaga,Gasabo,Kibagabaga,1493,dirt,8,7,steep,0,1,91811.0,137073735.0
Land in Nyamirambo,Nyarugenge,Nyamirambo,4148,paved,14,97,gentle,1,1,58046.0,240776751.0
Land in Gacuriro,Gasabo,Gacuriro,1865,dirt,19,372,steep,1,1,86180.0,160726355.0
Land in Nyarutarama,Gasabo,Nyarutarama,2477,dirt,16,316,gentle,0,1,247992.0,614277295.0
Land in Kicukiro Center,Kicukiro,Kicukiro Center,802,paved,9,446,gentle,0,1,94632.0,75894520.0
Land in Gisozi,Gasabo,Gisozi,3567,dirt,17,37,flat,0,1,63002.0,224728818.0
Land in Kicukiro Center,Kicukiro,Kicukiro Center,3002,dirt,3,2,gentle,0,1,98728.0,296380820.0
