title,district,sector,property_type,bedrooms,bathrooms,size_sqft,land_size,year_built,road_access,furnished,parking,modern_finish,proximity_to_city,price_rwf,sector_official,geo_source,cbd_distance_km,nearest_school_km,nearest_hospital_km,nearest_market_km,nearest_bank_km,accessibility_score,sector_density_score,neighborhood_score,investment_score
Townhouse in Gitega,Nyarugenge,Gitega,townhouse,5,2,7951,1174,1993,dirt,0,0,0,17,75465509.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
Villa in Remera,Gasabo,Remera,villa,1,2,3034,1990,2022,dirt,1,1,0,29,147288125.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Villa in Nyarutarama,Gasabo,Nyarutarama,villa,4,1,4047,2206,2013,paved,1,1,1,30,598089680.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
House in Nyarugenge Town,Nyarugenge,Nyarugenge Town,house,6,3,7282,748,1998,paved,0,1,0,16,161565473.0,Nyarugenge,sector_centroid,1.093,0.336,0.36,1.779,0.304,89.2,100.0,96.2,44.6
Townhouse in Nyarutarama,Gasabo,Nyarutarama,townhouse,1,1,2896,1033,1999,paved,1,2,1,8,390302070.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
House in Gitega,Nyarugenge,Gitega,house,5,4,1314,604,2021,paved,0,1,1,1,87862792.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
Apartment in Gacuriro,Gasabo,Gacuriro,apartment,5,4,2334,500,2023,paved,0,4,0,17,168633398.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
Apartment in Gisozi,Gasabo,Gisozi,apartment,7,4,1156,1734,2013,dirt,1,0,1,24,67122198.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
House in Kimihurura,Gasabo,Kimihurura,house,7,5,6822,1511,1998,paved,1,1,0,22,457201272.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
Townhouse in Nyarugenge Town,Nyarugenge,Nyarugenge Town,townhouse,4,2,7447,702,1994,paved,1,1,0,11,166002519.0,Nyarugenge,sector_centroid,1.093,0.336,0.36,1.779,0.304,89.2,100.0,96.2,44.6
Villa in Kanombe,Kicukiro,Kanombe,villa,4,5,4678,1187,1992,paved,0,0,0,11,98822279.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
Apartment in Gitega,Nyarugenge,Gitega,apartment,3,4,4076,1951,2014,dirt,0,3,1,26,68287445.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
Apartment in Gitega,Nyarugenge,Gitega,apartment,1,4,1446,1913,2001,paved,1,2,1,20,54019683.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
Apartment in Kacyiru,Gasabo,Kacyiru,apartment,6,4,3679,1981,1992,paved,0,0,1,21,198361331.0,Kacyiru,sector_centroid,2.73,0.36,0.225,2.358,1.737,61.6,34.1,43.6,51.1
House in Kanombe,Kicukiro,Kanombe,house,7,2,1055,734,2018,paved,1,2,1,19,88440511.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
House in Kacyiru,Gasabo,Kacyiru,house,6,4,3838,1673,2018,paved,0,3,1,9,347713684.0,Kacyiru,sector_centroid,2.73,0.36,0.225,2.358,1.737,61.6,34.1,43.6,51.1
House in Kimihurura,Gasabo,Kimihurura,house,1,2,4888,2270,2014,paved,1,3,1,20,374644744.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
Villa in Kicukiro Center,Kicukiro,Kicukiro Center,villa,2,1,1911,453,2018,dirt,0,0,0,28,90709586.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
Apartment in Nyamirambo,Nyarugenge,Nyamirambo,apartment,3,1,5305,2370,2008,dirt,0,1,0,17,54040020.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
Apartment in Gacuriro,Gasabo,Gacuriro,apartment,7,2,2739,2173,1991,paved,1,4,1,29,117640909.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
House in Remera,Gasabo,Remera,house,4,4,5106,1832,2016,paved,1,0,1,22,238453982.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Townhouse in Kacyiru,Gasabo,Kacyiru,townhouse,7,5,6041,895,1998,paved,0,0,1,10,308016779.0,Kacyiru,sector_centroid,2.73,0.36,0.225,2.358,1.737,61.6,34.1,43.6,51.1
House in Kibagabaga,Gasabo,Kibagabaga,house,6,2,3634,2275,2008,paved,0,4,1,21,141261522.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
Villa in Kanombe,Kicukiro,Kanombe,villa,1,5,6050,840,1999,paved,0,4,1,30,121858770.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
Townhouse in Nyarutarama,Gasabo,Nyarutarama,townhouse,1,1,6054,1234,2003,paved,1,4,1,10,582266814.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
House in Gitega,Nyarugenge,Gitega,house,7,4,3236,2007,1994,paved,0,3,1,20,69737888.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
House in Nyarugenge Town,Nyarugenge,Nyarugenge Town,house,3,3,4066,685,2013,paved,0,2,1,5,144543515.0,Nyarugenge,sector_centroid,1.093,0.336,0.36,1.779,0.304,89.2,100.0,96.2,44.6
Apartment in Remera,Gasabo,Remera,apartment,4,5,4225,1166,2000,dirt,0,1,0,16,138064901.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Townhouse in Kicukiro Center,Kicukiro,Kicukiro Center,townhouse,4,3,4874,244,1995,paved,0,1,0,2,96549851.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
House in Kicukiro Center,Kicukiro,Kicukiro Center,house,5,4,3140,2348,1990,paved,0,2,0,12,81355567.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
Apartment in Nyarutarama,Gasabo,Nyarutarama,apartment,5,5,2394,1634,2025,paved,0,4,1,20,601808869.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Apartment in Kimihurura,Gasabo,Kimihurura,apartment,2,1,4026,1678,2011,dirt,1,4,1,2,276209435.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
Townhouse in Kacyiru,Gasabo,Kacyiru,townhouse,6,3,7386,2090,2023,paved,0,1,1,20,420259516.0,Kacyiru,sector_centroid,2.73,0.36,0.225,2.358,1.737,61.6,34.1,43.6,51.1
Townhouse in Gisozi,Gasabo,Gisozi,townhouse,5,3,5663,1527,2022,dirt,1,0,1,22,101500807.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Apartment in Gisozi,Gasabo,Gisozi,apartment,5,3,7327,259,2020,dirt,0,4,0,24,93233427.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Villa in Kicukiro Center,Kicukiro,Kicukiro Center,villa,2,5,5952,1707,1999,paved,0,0,1,15,147652379.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
House in Kacyiru,Gasabo,Kacyiru,house,4,2,4161,2205,2020,dirt,0,4,1,22,268364280.0,Kacyiru,sector_centroid,2.73,0.36,0.225,2.358,1.737,61.6,34.1,43.6,51.1
Apartment in Gisozi,Gasabo,Gisozi,apartment,3,2,4565,2333,2011,paved,0,2,0,7,93157097.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Villa in Remera,Gasabo,Remera,villa,5,3,2642,1369,2008,paved,0,3,1,30,204985242.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Townhouse in Nyarugenge Town,Nyarugenge,Nyarugenge Town,townhouse,3,3,1798,2498,2024,dirt,1,2,0,26,90589734.0,Nyarugenge,sector_centroid,1.093,0.336,0.36,1.779,0.304,89.2,100.0,96.2,44.6
Townhouse in Nyarutarama,Gasabo,Nyarutarama,townhouse,3,1,3637,1961,2006,paved,0,2,0,23,368856452.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Villa in Kimihurura,Gasabo,Kimihurura,villa,5,5,2760,1143,1993,paved,1,3,1,16,348868174.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
Townhouse in Gitega,Nyarugenge,Gitega,townhouse,2,1,5308,796,2016,paved,1,2,1,21,84047146.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
Villa in Gitega,Nyarugenge,Gitega,villa,1,5,2702,2341,1992,paved,0,0,0,13,64128677.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
Apartment in Kacyiru,Gasabo,Kacyiru,apartment,6,3,7982,303,1990,paved,1,2,1,21,318109954.0,Kacyiru,sector_centroid,2.73,0.36,0.225,2.358,1.737,61.6,34.1,43.6,51.1
House in Kicukiro Center,Kicukiro,Kicukiro Center,house,2,5,4634,1267,2002,paved,0,2,0,1,130003572.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
Townhouse in Gitega,Nyarugenge,Gitega,townhouse,3,5,6324,941,2001,dirt,0,0,1,4,76873845.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
Townhouse in Kacyiru,Gasabo,Kacyiru,townhouse,4,3,2832,177,2006,paved,0,2,1,24,221465677.0,Kacyiru,sector_centroid,2.73,0.36,0.225,2.358,1.737,61.6,34.1,43.6,51.1
House in Remera,Gasabo,Remera,house,6,3,6475,1117,1993,paved,1,4,0,29,202665087.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Villa in Remera,Gasabo,Remera,villa,6,1,6032,1358,2013,paved,1,1,1,20,294166728.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Villa in Nyarugenge Town,Nyarugenge,Nyarugenge Town,villa,5,4,7004,2351,2003,paved,0,0,1,17,229655572.0,Nyarugenge,sector_centroid,1.093,0.336,0.36,1.779,0.304,89.2,100.0,96.2,44.6
Villa in Kimihurura,Gasabo,Kimihurura,villa,5,1,1305,2393,2022,paved,1,2,0,15,335484910.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
Townhouse in Gacuriro,Gasabo,Gacuriro,townhouse,6,5,4804,522,2022,dirt,0,4,1,19,199333723.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
Apartment in Kicukiro Center,Kicukiro,Kicukiro Center,apartment,6,3,6725,239,2015,dirt,0,4,1,14,150004750.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
Apartment in Kimihurura,Gasabo,Kimihurura,apartment,5,1,1365,2083,1992,paved,0,3,1,29,171033105.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
Apartment in Gisozi,Gasabo,Gisozi,apartment,4,1,6392,2358,1998,paved,0,3,1,24,93891609.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Townhouse in Nyarutarama,Gasabo,Nyarutarama,townhouse,7,1,3244,2046,2024,paved,0,1,1,5,620332298.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Villa in Nyarugenge Town,Nyarugenge,Nyarugenge Town,villa,7,1,1063,1867,1991,paved,1,0,1,22,109269387.0,Nyarugenge,sector_centroid,1.093,0.336,0.36,1.779,0.304,89.2,100.0,96.2,44.6
Villa in Nyarutarama,Gasabo,Nyarutarama,villa,2,1,4095,1947,2004,dirt,0,1,1,10,448826184.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Apartment in Nyarugenge Town,Nyarugenge,Nyarugenge Town,apartment,5,3,5530,1463,2005,dirt,0,4,1,10,131554126.0,Nyarugenge,sector_centroid,1.093,0.336,0.36,1.779,0.304,89.2,100.0,96.2,44.6
Townhouse in Kanombe,Kicukiro,Kanombe,townhouse,5,2,5928,1899,2025,paved,1,3,0,11,163017658.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
Townhouse in Gisozi,Gasabo,Gisozi,townhouse,2,3,3883,903,2024,paved,1,1,0,30,78685823.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Villa in Gisozi,Gasabo,Gisozi,villa,4,5,5141,699,2014,paved,1,0,0,28,125418543.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
House in Kanombe,Kicukiro,Kanombe,house,6,2,1222,1249,2014,dirt,1,4,0,18,70598230.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
Villa in Gacuriro,Gasabo,Gacuriro,villa,7,3,3283,212,2003,dirt,1,3,0,23,184522212.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
Townhouse in Gacuriro,Gasabo,Gacuriro,townhouse,4,2,5322,1467,2008,paved,0,2,1,17,209200658.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
Apartment in Kicukiro Center,Kicukiro,Kicukiro Center,apartment,1,4,7039,1461,2003,paved,1,1,0,1,129569538.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
Apartment in Gahanga,Kicukiro,Gahanga,apartment,5,4,3218,774,2002,paved,0,1,1,21,75272920.0,Gahanga,sector_centroid,11.004,1.745,3.418,1.278,5.766,21.9,0.6,10.0,21.8
Villa in Kibagabaga,Gasabo,Kibagabaga,villa,3,4,6727,2159,2019,dirt,1,1,0,16,193121682.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
House in Kanombe,Kicukiro,Kanombe,house,6,1,5092,288,1994,dirt,0,1,1,5,77811888.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
House in Kanombe,Kicukiro,Kanombe,house,4,3,1295,2129,2021,paved,0,0,1,24,78108695.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
House in Remera,Gasabo,Remera,house,1,5,7461,1913,2001,dirt,0,1,1,17,164453691.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Townhouse in Kibagabaga,Gasabo,Kibagabaga,townhouse,3,4,1447,1678,2015,paved,0,1,1,27,109633156.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
Townhouse in Nyamirambo,Nyarugenge,Nyamirambo,townhouse,7,1,1565,1810,2014,paved,1,0,0,3,71461363.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
House in Gisozi,Gasabo,Gisozi,house,6,3,5435,540,2023,paved,0,4,1,2,169000000.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Apartment in Nyamirambo,Nyarugenge,Nyamirambo,apartment,3,5,5416,284,2001,paved,1,1,0,23,80989552.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
Apartment in Kimihurura,Gasabo,Kimihurura,apartment,3,2,5419,1134,2014,paved,0,0,1,12,329306983.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
House in Gisozi,Gasabo,Gisozi,house,2,1,3590,1774,2010,paved,0,3,1,12,85193931.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Apartment in Gisozi,Gasabo,Gisozi,apartment,4,2,6368,1706,1995,dirt,0,0,1,13,75221846.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
House in Nyamirambo,Nyarugenge,Nyamirambo,house,2,4,3394,1627,1996,paved,1,2,0,4,62220809.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
Townhouse in Kacyiru,Gasabo,Kacyiru,townhouse,4,4,5362,2422,2022,paved,1,4,1,20,436913335.0,Kacyiru,sector_centroid,2.73,0.36,0.225,2.358,1.737,61.6,34.1,43.6,51.1
Villa in Gisozi,Gasabo,Gisozi,villa,1,3,4189,1738,1995,paved,1,3,1,9,95030666.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Townhouse in Kicukiro Center,Kicukiro,Kicukiro Center,townhouse,2,1,2169,1930,2007,paved,0,2,1,8,93925265.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
Villa in Kicukiro Center,Kicukiro,Kicukiro Center,villa,5,5,2401,2025,1996,paved,0,2,0,13,121526229.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
Apartment in Kibagabaga,Gasabo,Kibagabaga,apartment,4,3,4327,707,2009,paved,0,3,1,13,158622362.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
Townhouse in Remera,Gasabo,Remera,townhouse,6,4,5517,1142,2010,paved,0,2,1,19,211298221.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Townhouse in Kanombe,Kicukiro,Kanombe,townhouse,2,5,1020,2040,2003,dirt,0,0,0,26,48296742.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
Apartment in Nyamirambo,Nyarugenge,Nyamirambo,apartment,4,2,5988,1390,2005,paved,0,3,1,20,83597395.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
House in Gisozi,Gasabo,Gisozi,house,5,5,7924,1863,2024,dirt,1,4,0,30,127912865.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Apartment in Gitega,Nyarugenge,Gitega,apartment,2,3,2162,331,2015,dirt,0,0,1,8,54843662.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
Apartment in Kanombe,Kicukiro,Kanombe,apartment,5,5,6433,1055,2018,paved,0,4,0,5,144711841.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
House in Nyarutarama,Gasabo,Nyarutarama,house,4,1,3220,1853,1995,dirt,0,2,1,15,370186529.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Townhouse in Kanombe,Kicukiro,Kanombe,townhouse,4,3,4700,549,2018,paved,1,0,1,11,137897049.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
Villa in Nyamirambo,Nyarugenge,Nyamirambo,villa,7,2,6866,1149,2023,paved,1,3,0,8,156000000.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
House in Nyamirambo,Nyarugenge,Nyamirambo,house,2,2,6046,1920,2015,dirt,0,3,0,13,69214516.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
Villa in Gacuriro,Gasabo,Gacuriro,villa,2,3,6963,406,1996,paved,1,0,1,28,218050153.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
Apartment in Nyamirambo,Nyarugenge,Nyamirambo,apartment,3,5,3983,1757,1997,paved,0,1,0,23,60545275.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
House in Gahanga,Kicukiro,Gahanga,house,5,1,6305,698,2010,paved,1,2,0,17,103555935.0,Gahanga,sector_centroid,11.004,1.745,3.418,1.278,5.766,21.9,0.6,10.0,21.8
Townhouse in Gahanga,Kicukiro,Gahanga,townhouse,2,5,3943,1882,2001,paved,0,1,0,16,61712850.0,Gahanga,sector_centroid,11.004,1.745,3.418,1.278,5.766,21.9,0.6,10.0,21.8
House in Kacyiru,Gasabo,Kacyiru,house,3,4,5874,369,2012,paved,1,3,0,17,362972090.0,Kacyiru,sector_centroid,2.73,0.36,0.225,2.358,1.737,61.6,34.1,43.6,51.1
Villa in Gisozi,Gasabo,Gisozi,villa,6,4,4204,1968,2021,paved,1,1,1,9,159968816.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
House in Remera,Gasabo,Remera,house,2,4,5433,2178,2025,paved,1,4,0,12,261277398.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
House in Gitega,Nyarugenge,Gitega,house,1,4,5275,1045,2017,dirt,0,1,1,2,88316487.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
Villa in Kibagabaga,Gasabo,Kibagabaga,villa,7,1,4396,630,2005,dirt,0,2,0,20,143486540.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
House in Kacyiru,Gasabo,Kacyiru,house,5,2,7229,996,2003,paved,0,4,1,11,419146430.0,Kacyiru,sector_centroid,2.73,0.36,0.225,2.358,1.737,61.6,34.1,43.6,51.1
Villa in Remera,Gasabo,Remera,villa,3,5,2990,2257,1996,dirt,0,0,0,28,122821242.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Villa in Nyarugenge Town,Nyarugenge,Nyarugenge Town,villa,7,2,2845,749,2010,dirt,0,3,1,21,137078038.0,Nyarugenge,sector_centroid,1.093,0.336,0.36,1.779,0.304,89.2,100.0,96.2,44.6
Apartment in Gisozi,Gasabo,Gisozi,apartment,4,4,1418,531,2015,paved,0,3,0,11,69681115.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
House in Gitega,Nyarugenge,Gitega,house,7,1,6787,2027,2012,dirt,1,3,0,16,100809240.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
Apartment in Remera,Gasabo,Remera,apartment,3,5,5534,684,2021,dirt,0,0,1,26,188359594.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Townhouse in Nyarutarama,Gasabo,Nyarutarama,townhouse,1,2,4415,2019,1990,paved,0,1,0,10,308678292.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Villa in Remera,Gasabo,Remera,villa,1,3,2851,487,2013,paved,0,1,1,3,203561337.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Townhouse in Nyarutarama,Gasabo,Nyarutarama,townhouse,2,4,1438,693,2004,paved,0,0,0,14,329501962.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
House in Kicukiro Center,Kicukiro,Kicukiro Center,house,1,2,3938,515,1996,paved,0,1,1,27,89092060.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
Villa in Kacyiru,Gasabo,Kacyiru,villa,6,2,1360,2322,1990,paved,0,1,0,20,182430633.0,Kacyiru,sector_centroid,2.73,0.36,0.225,2.358,1.737,61.6,34.1,43.6,51.1
Apartment in Gacuriro,Gasabo,Gacuriro,apartment,1,1,1946,654,2014,dirt,1,1,1,21,93208308.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
Apartment in Kanombe,Kicukiro,Kanombe,apartment,5,5,6707,1317,1991,paved,0,1,0,10,101615263.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
Villa in Gitega,Nyarugenge,Gitega,villa,7,2,4854,1730,1997,paved,0,4,0,1,122871873.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
Apartment in Kibagabaga,Gasabo,Kibagabaga,apartment,2,4,7851,2478,2016,paved,1,3,0,25,163069003.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
House in Gahanga,Kicukiro,Gahanga,house,1,1,2947,1033,1992,dirt,1,2,0,17,45700366.0,Gahanga,sector_centroid,11.004,1.745,3.418,1.278,5.766,21.9,0.6,10.0,21.8
Villa in Gisozi,Gasabo,Gisozi,villa,6,4,1475,2347,2024,paved,1,4,0,26,102495064.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Townhouse in Kibagabaga,Gasabo,Kibagabaga,townhouse,4,5,5996,420,2009,dirt,0,0,1,30,131046160.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
House in Kicukiro Center,Kicukiro,Kicukiro Center,house,5,5,1250,1416,2001,paved,1,0,1,12,103016799.0,Kicukiro,sector_centroid,5.052,0.681,0.439,0.158,0.54,65.6,38.9,39.2,52.8
Apartment in Gitega,Nyarugenge,Gitega,apartment,7,3,2167,1673,1998,dirt,1,0,1,14,54114129.0,Gitega,sector_centroid,0.544,0.515,0.454,1.751,0.424,100.0,12.9,39.9,93.5
Townhouse in Kimihurura,Gasabo,Kimihurura,townhouse,3,5,5940,465,2021,paved,1,4,1,6,560806166.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
House in Kimihurura,Gasabo,Kimihurura,house,5,1,2671,2234,1990,dirt,1,0,1,13,240629774.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
Apartment in Kacyiru,Gasabo,Kacyiru,apartment,7,1,5329,1867,2004,paved,0,2,1,3,315576577.0,Kacyiru,sector_centroid,2.73,0.36,0.225,2.358,1.737,61.6,34.1,43.6,51.1
House in Kimihurura,Gasabo,Kimihurura,house,5,1,2269,1064,2023,dirt,1,3,0,25,309497075.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
Villa in Kibagabaga,Gasabo,Kibagabaga,villa,1,5,4541,182,2013,paved,0,4,1,12,198347892.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
